fastqs,sample,library_type
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/rna/AS-845320-LR-64719,1_16h_pIFN_dsRNA,Gene Expression
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/rna/AS-845320-LR-64720,1_16h_pIFN_dsRNA,Gene Expression
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845263-LR-64668,1_16h_pIFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845263-LR-64669,1_16h_pIFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845265-LR-64668,1_16h_pIFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845265-LR-64669,1_16h_pIFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845267-LR-64668,1_16h_pIFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845267-LR-64669,1_16h_pIFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845269-LR-64668,1_16h_pIFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845269-LR-64669,1_16h_pIFN_dsRNA,Chromatin Accessibility
