fastqs,sample,library_type
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/rna/AS-845324-LR-64719,3_16h_-IFN_dsRNA,Gene Expression
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/rna/AS-845324-LR-64720,3_16h_-IFN_dsRNA,Gene Expression
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845279-LR-64668,3_16h_-IFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845279-LR-64669,3_16h_-IFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845281-LR-64668,3_16h_-IFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845281-LR-64669,3_16h_-IFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845283-LR-64668,3_16h_-IFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845283-LR-64669,3_16h_-IFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845285-LR-64668,3_16h_-IFN_dsRNA,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845285-LR-64669,3_16h_-IFN_dsRNA,Chromatin Accessibility
