fastqs,sample,library_type
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/rna/AS-845332-LR-64720,7_3h_-IFN_polyC,Gene Expression
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/rna/AS-845332-LR-64719,7_3h_-IFN_polyC,Gene Expression
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845311-LR-64668,7_3h_-IFN_polyC,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845311-LR-64669,7_3h_-IFN_polyC,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845313-LR-64668,7_3h_-IFN_polyC,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845313-LR-64669,7_3h_-IFN_polyC,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845315-LR-64668,7_3h_-IFN_polyC,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845315-LR-64669,7_3h_-IFN_polyC,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845317-LR-64668,7_3h_-IFN_polyC,Chromatin Accessibility
/media/sds-hd/sd21e005/binder_multiome/data/hardlinks/atac/AS-845317-LR-64669,7_3h_-IFN_polyC,Chromatin Accessibility
